price,index
500001,89
500001,459
500001,493
500001,494
500001,509
500001,510
500001,511
500001,512
500001,514
500001,517
500001,1044
500001,1051
500001,1053
500001,1077
500001,1081
500001,1096
500001,1097
500001,1098
500001,1321
500001,1327
500001,1338
500001,1353
500001,1354
500001,1355
500001,1356
500001,1357
500001,1366
500001,1370
500001,1380
500001,1381
500001,1382
500001,1384
500001,1385
500001,1386
500001,1389
500001,1393
500001,1400
500001,1401
500001,1414
500001,1416
500001,1417
500001,1418
500001,1486
500001,1487
500001,1488
500001,1489
500001,1490
500001,1491
500001,1492
500001,1493
500001,1495
500001,1496
500001,1498
500001,1499
500001,1508
500001,1511
500001,1519
500001,1520
500001,1524
500001,1525
500001,1528
500001,1532
500001,1533
500001,1534
500001,1535
500001,1536
500001,1537
500001,1538
500001,1539
500001,1540
500001,1541
500001,1543
500001,1544
500001,1545
500001,1546
500001,1552
500001,1553
500001,1555
500001,1556
500001,1557
500001,1558
500001,1559
500001,1560
500001,1561
500001,1562
500001,1563
500001,1564
500001,1565
500001,1566
500001,1567
500001,1569
500001,1570
500001,1571
500001,1572
500001,1573
500001,1574
500001,1575
500001,1576
500001,1579
500001,1580
500001,1582
500001,1587
500001,1588
500001,1622
500001,1623
500001,1624
500001,1643
500001,1644
500001,1645
500001,1647
500001,1648
500001,1677
500001,1682
500001,1861
500001,1862
500001,1863
500001,1877
500001,1878
500001,1881
500001,1914
500001,1917
500001,1918
500001,1921
500001,1922
500001,1931
500001,1932
500001,1933
500001,1957
500001,1965
500001,1966
500001,1988
500001,1996
500001,2000
500001,2023
500001,2024
500001,2025
500001,2030
500001,2050
500001,2051
500001,2052
500001,2053
500001,2056
500001,2062
500001,2111
500001,2116
500001,2117
500001,2118
500001,2119
500001,2120
500001,2121
500001,2122
500001,2123
500001,2124
500001,2125
500001,2126
500001,2127
500001,2128
500001,2129
500001,2130
500001,2131
500001,2132
500001,2133
500001,2134
500001,2135
500001,2136
500001,2158
500001,2159
500001,2160
500001,2161
500001,2163
500001,2165
500001,2166
500001,2167
500001,2168
500001,2169
500001,2174
500001,2175
500001,2176
500001,2177
500001,2178
500001,2179
500001,2180
500001,2185
500001,2187
500001,2188
500001,2189
500001,2190
500001,2191
500001,2192
500001,2193
500001,2194
500001,2195
500001,2196
500001,2197
500001,2336
500001,2350
500001,2397
500001,2398
500001,2560
500001,2607
500001,2616
500001,2630
500001,2631
500001,2645
500001,2875
500001,2932
500001,3027
500001,3083
500001,3084
500001,3088
500001,3107
500001,3108
500001,3112
500001,3113
500001,3114
500001,3116
500001,3118
500001,3119
500001,3120
500001,3121
500001,3122
500001,3123
500001,3124
500001,3130
500001,3141
500001,3143
500001,3144
500001,3145
500001,3146
500001,3147
500001,3148
500001,3149
500001,3151
500001,3152
500001,3182
500001,3183
500001,3185
500001,3189
500001,3190
500001,3294
500001,3298
500001,3303
500001,3307
500001,3308
500001,3310
500001,3319
500001,3320
500001,3321
500001,3322
500001,3323
500001,3326
500001,3333
500001,3393
500001,3401
500001,3419
500001,3420
500001,3421
500001,3422
500001,3424
500001,3425
500001,3426
500001,3427
500001,3428
500001,3429
500001,3434
500001,3633
500001,3677
500001,3678
500001,3679
500001,3680
500001,3681
500001,3696
500001,3698
500001,3700
500001,3704
500001,3718
500001,3748
500001,3749
500001,3751
500001,3752
500001,3753
500001,3754
500001,3755
500001,3762
500001,3774
500001,3776
500001,3777
500001,3787
500001,3789
500001,3801
500001,3814
500001,3935
500001,4315
500001,4316
500001,4317
500001,4318
500001,4319
500001,4320
500001,4321
500001,4322
500001,4323
500001,4324
500001,4325
500001,4326
500001,4327
500001,4328
500001,4329
500001,4330
500001,4331
500001,4332
500001,4333
500001,4334
500001,4335
500001,4336
500001,4337
500001,4338
500001,4339
500001,4340
500001,4341
500001,4342
500001,4343
500001,4344
500001,4345
500001,4346
500001,4347
500001,4348
500001,4349
500001,4350
500001,4351
500001,4352
500001,4353
500001,4354
500001,4355
500001,4356
500001,4357
500001,4360
500001,4361
500001,4362
500001,4363
500001,4364
500001,4365
500001,4366
500001,4367
500001,4368
500001,4369
500001,4371
500001,4375
500001,4376
500001,4377
500001,4378
500001,4379
500001,4380
500001,4383
500001,4384
500001,4385
500001,4386
500001,4387
500001,4388
500001,4389
500001,4390
500001,4391
500001,4392
500001,4393
500001,4394
500001,4397
500001,4420
500001,4421
500001,4422
500001,4423
500001,4424
500001,4425
500001,4426
500001,4427
500001,4428
500001,4430
500001,4431
500001,4433
500001,4434
500001,4435
500001,4436
500001,4437
500001,4438
500001,4440
500001,4441
500001,4442
500001,4489
500001,4492
500001,4493
500001,4494
500001,4511
500001,4543
500001,4558
500001,4559
500001,4560
500001,4563
500001,4564
500001,4565
500001,4566
500001,4567
500001,4608
500001,4609
500001,4610
500001,4611
500001,4631
500001,4632
500001,4633
500001,4732
500001,4736
500001,4760
500001,4957
500001,5268
500001,5269
500001,5272
500001,5273
500001,5276
500001,5277
500001,5278
500001,5280
500001,5281
500001,5282
500001,5283
500001,5284
500001,5285
500001,5286
500001,5313
500001,5317
500001,5329
500001,5360
500001,5361
500001,5362
500001,5366
500001,5368
500001,5369
500001,5370
500001,5374
500001,5375
500001,5376
500001,5377
500001,5378
500001,5379
500001,5380
500001,5381
500001,5382
500001,5383
500001,5384
500001,5385
500001,5386
500001,5554
500001,5556
500001,5564
500001,6753
500001,7003
500001,7004
500001,7006
500001,7008
500001,7009
500001,7010
500001,7011
500001,7012
500001,7013
500001,7014
500001,7015
500001,7018
500001,7019
500001,7020
500001,7062
500001,7065
500001,7066
500001,7067
500001,7068
500001,7069
500001,7070
500001,7071
500001,7072
500001,7077
500001,7078
500001,7080
500001,7086
500001,7187
500001,7201
500001,7215
500001,7229
500001,7230
500001,7231
500001,7232
500001,7233
500001,7234
500001,7235
500001,7236
500001,7237
500001,7238
500001,7239
500001,7240
500001,7241
500001,7242
500001,7243
500001,7244
500001,7245
500001,7246
500001,7247
500001,7248
500001,7249
500001,7250
500001,7251
500001,7252
500001,7253
500001,7254
500001,7255
500001,7256
500001,7257
500001,7258
500001,7259
500001,7260
500001,7261
500001,7262
500001,7263
500001,7265
500001,7266
500001,7267
500001,7268
500001,7269
500001,7270
500001,7276
500001,7283
500001,7284
500001,7285
500001,7286
500001,7306
500001,7307
500001,7311
500001,7317
500001,7318
500001,7324
500001,7325
500001,7357
500001,7368
500001,7373
500001,7388
500001,7394
500001,7395
500001,7396
500001,7397
500001,7426
500001,7625
500001,7740
500001,7743
500001,7906
500001,7910
500001,7989
500001,7991
500001,7992
500001,7994
500001,7998
500001,8002
500001,8006
500001,8008
500001,8013
500001,8014
500001,8025
500001,8026
500001,8047
500001,8060
500001,8061
500001,8116
500001,8159
500001,8185
500001,8186
500001,8187
500001,8189
500001,8193
500001,8207
500001,8208
500001,8209
500001,8210
500001,8211
500001,8212
500001,8213
500001,8214
500001,8215
500001,8216
500001,8217
500001,8221
500001,8224
500001,8226
500001,8267
500001,8269
500001,8270
500001,8271
500001,8273
500001,8274
500001,8275
500001,8277
500001,8278
500001,8279
500001,8280
500001,8281
500001,8282
500001,8283
500001,8284
500001,8285
500001,8286
500001,8290
500001,8292
500001,8293
500001,8294
500001,8295
500001,8296
500001,8297
500001,8298
500001,8299
500001,8300
500001,8301
500001,8302
500001,8304
500001,8308
500001,8335
500001,8336
500001,8337
500001,8339
500001,8342
500001,8344
500001,8345
500001,8540
500001,8541
500001,8547
500001,8550
500001,8577
500001,8578
500001,8579
500001,8581
500001,9019
500001,9030
500001,9261
500001,9268
500001,9273
500001,9585
500001,9907
500001,9913
500001,9921
500001,9926
500001,9927
500001,9928
500001,9929
500001,9952
500001,9953
500001,9954
500001,9955
500001,9956
500001,9957
500001,9958
500001,9962
500001,9963
500001,9965
500001,10261
500001,10363
500001,10398
500001,10399
500001,10402
500001,10581
500001,10584
500001,10585
500001,10586
500001,10589
500001,10595
500001,10596
500001,10598
500001,10599
500001,10601
500001,10602
500001,10603
500001,10604
500001,10605
500001,10606
500001,10607
500001,10608
500001,10609
500001,10610
500001,10611
500001,10612
500001,10613
500001,10614
500001,10616
500001,10618
500001,10619
500001,10620
500001,10621
500001,10622
500001,10623
500001,10624
500001,10625
500001,10629
500001,10630
500001,10632
500001,10633
500001,10711
500001,10751
500001,10752
500001,10753
500001,10754
500001,10755
500001,10756
500001,10757
500001,10758
500001,10759
500001,10760
500001,10761
500001,10762
500001,10763
500001,10764
500001,10766
500001,10780
500001,10781
500001,10782
500001,10861
500001,10864
500001,10885
500001,11267
500001,11268
500001,11277
500001,11305
500001,11323
500001,11356
500001,11357
500001,11358
500001,11367
500001,11374
500001,11861
500001,11863
500001,11868
500001,11869
500001,11870
500001,11935
500001,13431
500001,13440
500001,13441
500001,13455
500001,13456
500001,13457
500001,13458
500001,13461
500001,13465
500001,13512
500001,13516
500001,13517
500001,13555
500001,13609
500001,13612
500001,13613
500001,14491
500001,14556
500001,14707
500001,14755
500001,16120
500001,18086
500001,18141
500001,18231
500001,18232
500001,18309
500001,18332
500001,18345
500001,18346
500001,18347
500001,18348
500001,18352
500001,18357
500001,18358
500001,18359
500001,18363
500001,18364
500001,18365
500001,18371
500001,18372
500001,18374
500001,18376
500001,18378
500001,18379
500001,18380
500001,18381
500001,18382
500001,18383
500001,18384
500001,18385
500001,18386
500001,18387
500001,18388
500001,18389
500001,18390
500001,18391
500001,18392
500001,18393
500001,18395
500001,18396
500001,18397
500001,18398
500001,18399
500001,18400
500001,18401
500001,18402
500001,18405
500001,18406
500001,18407
500001,18408
500001,18409
500001,18410
500001,18411
500001,18412
500001,18418
500001,18420
500001,18421
500001,18422
500001,18423
500001,18424
500001,18425
500001,18426
500001,18427
500001,18428
500001,18437
500001,18438
500001,18468
500001,18477
500001,18483
500001,18512
500001,18514
500001,18515
500001,18546
500001,18564
500001,18569
500001,18570
500001,18572
500001,18573
500001,18574
500001,18576
500001,18578
500001,18583
500001,18585
500001,18943
500001,18944
500001,19020
500001,19029
500001,19030
500001,19032
500001,19036
500001,19040
500001,19041
500001,19042
500001,19043
500001,19054
500001,19055
500001,19056
500001,19057
500001,19058
500001,19059
500001,19060
500001,19061
500001,19062
500001,19064
500001,19084
500001,19085
500001,19297
500001,19298
500001,19301
500001,19475
500001,19476
500001,19477
500001,19478
500001,19479
500001,19480
500001,19481
500001,19482
500001,19483
500001,19486
500001,19533
500001,19542
500001,19548
500001,19623
500001,19637
500001,19638
500001,19669
500001,19737
500001,19910
500001,19911
500001,19914
500001,19915
500001,19916
500001,19923
500001,19924
500001,19927
500001,19928
500001,19937
500001,19938
500001,19939
500001,19940
500001,19941
500001,19942
500001,19943
500001,19944
500001,19945
500001,19946
500001,19947
500001,19948
500001,19963
500001,19964
500001,19966
500001,19967
500001,19968
500001,19969
500001,19974
500001,20049
500001,20051
500001,20053
500001,20055
500001,20056
500001,20062
500001,20071
500001,20093
500001,20094
500001,20095
500001,20096
500001,20097
500001,20099
500001,20100
500001,20101
500001,20102
500001,20103
500001,20106
500001,20107
500001,20108
500001,20109
500001,20110
500001,20111
500001,20112
500001,20113
500001,20114
500001,20115
500001,20116
500001,20118
500001,20119
500001,20120
500001,20121
500001,20122
500001,20123
500001,20124
500001,20125
500001,20126
500001,20139
500001,20141
500001,20151
500001,20152
500001,20177
500001,20193
500001,20201
500001,20204
500001,20298
500001,20299
500001,20306
500001,20308
500001,20395
500001,20466
500001,20474
500001,20480
500001,20532
500001,20571
500001,20572
500001,20621
500001,20630
500001 Count,965
500000,1542
500000,1549
500000,1551
500000,1554
500000,1584
500000,1625
500000,1626
500000,1845
500000,3793
500000,3897
500000,4374
500000,4381
500000,5421
500000,7316
500000,7621
500000,8272
500000,9951
500000,15715
500000,18331
500000,18340
500000,18482
500000,18978
500000,19028
500000,19556
500000,19921
500000,19922
500000,20137
500000 Count,27
499100,8194
499100 Count,1
499000,1099
499000 Count,1
498800,10626
498800 Count,1
498700,3311
498700 Count,1
498600,5560
498600 Count,1
498400,4761
498400 Count,1
497600,3188
497600 Count,1
497400,4897
497400 Count,1
496400,10597
496400,18949
496400 Count,2
496000,20087
496000 Count,1
495900,20054
495900 Count,1
495800,18441
495800 Count,1
495600,3180
495600,3292
495600 Count,2
495500,3142
495500,7061
495500,18567
495500 Count,3
495400,7976
495400 Count,1
494700,4398
494700 Count,1
494400,1592
494400 Count,1
494000,1049
494000 Count,1
493800,18439
493800 Count,1
493400,7330
493400 Count,1
493300,9259
493300 Count,1
493200,5352
493200 Count,1
493000,8266
493000 Count,1
492900,1627
492900 Count,1
492500,7374
492500,19491
492500 Count,2
492300,1595
492300 Count,1
492200,7005
492200 Count,1
492000,2164
492000 Count,1
491200,5063
491200,20030
491200 Count,2
490800,3150
490800,8333
490800 Count,2
490400,5350
490400 Count,1
490300,18161
490300 Count,1
490000,1687
490000 Count,1
489800,4490
489800 Count,1
489600,489
489600 Count,1
489000,1392
489000 Count,1
488900,1630
488900,19033
488900 Count,2
488500,18375
488500 Count,1
487800,1324
487800 Count,1
487500,18377
487500 Count,1
487200,8539
487200 Count,1
487100,18473
487100 Count,1
487000,8059
487000 Count,1
486900,3767
486900 Count,1
486800,13442
486800 Count,1
486400,3768
486400 Count,1
485700,7345
485700 Count,1
485400,11871
485400 Count,1
485300,10634
485300,19488
485300 Count,2
485100,4417
485100 Count,1
485000,3772
485000,10778
485000,18571
485000 Count,3
484700,13454
484700 Count,1
484600,8340
484600,19636
484600 Count,2
484100,7950
484100 Count,1
483800,3184
483800 Count,1
483700,5271
483700 Count,1
483600,18369
483600 Count,1
483500,2646
483500 Count,1
483300,140
483300,1923
483300,1991
483300,7273
483300,7979
483300,13560
483300 Count,6
483100,3092
483100 Count,1
482900,8276
482900 Count,1
482700,19308
482700 Count,1
482200,18373
482200 Count,1
481500,7017
481500,8548
481500 Count,2
481300,6682
481300 Count,1
480800,8033
480800,19981
480800 Count,2
480600,18233
480600 Count,1
480100,7326
480100 Count,1
479700,5372
479700 Count,1
479500,7076
479500 Count,1
479000,3747
479000 Count,1
478600,1420
478600 Count,1
478500,19294
478500 Count,1
478400,3136
478400 Count,1
477800,5363
477800 Count,1
477700,18558
477700 Count,1
