Id,Price
725,149618.2299051697
15856,214531.6651614967
5480,214700.34238247256
15664,329366.56758329517
14275,148028.7476001794
7633,207452.36050820473
13329,179923.54867820998
5502,225278.86024187942
4220,299136.11269802327
11538,209309.58452567735
15975,264816.10046040424
3310,216026.1002945205
9286,158679.2190904048
11260,179689.42669222978
5214,106793.80968065101
11307,183549.7099709105
13543,397925.28179325163
615,174780.6198568063
3495,220986.9255124573
2321,247797.54142399709
12046,199588.49108934405
16688,138812.3322914049
12694,238148.72223683723
783,151711.64129033452
8968,173305.31250795588
13454,180828.80463539247
12190,247830.81696009065
11160,115795.15111155393
10291,180827.5482815853
891,261711.84172757517
2982,182139.32921369225
3818,275343.4841091791
2449,175395.59626675354
8317,161775.62929776302
4922,172944.60441300087
1257,234179.567503946
9348,209193.9035404377
4176,174817.9516252927
10704,157827.15553052461
6624,121652.25693071142
5428,200782.35900591873
12749,171103.05736739087
8994,182145.3043062836
11513,148610.48784313953
3047,205227.9169174851
9519,203165.6954494918
12309,229413.3134681588
14081,272365.84522526973
8334,250712.54962424733
6343,191498.20523130018
14788,130006.71428602599
15748,364479.751966997
153,245415.35695208353
14149,178775.5700050771
269,193175.76018778206
5452,142584.08708422794
721,160612.180303208
5079,345785.32017806923
2831,111500.63449469313
10614,114912.28897533155
10131,314954.2733840721
9996,307252.6257517486
3061,187626.505156698
11733,328898.6714813935
3726,233141.6086479231
10929,212349.15577980631
9011,360048.4683334972
16182,282753.1511210832
4976,184433.23059924843
9897,245068.1864298483
1872,158396.50232973613
9205,276340.59331696964
5403,394383.22701675503
14074,190438.69273616813
6268,151667.40578766578
14232,164434.8580986808
8532,209619.08013785788
7034,298029.62246551126
6553,475447.10741298477
3133,170958.82212876328
8596,205364.93773311336
12389,252111.50239218323
14462,178118.44330951796
8860,298006.91833528783
8377,300117.3780619844
6367,296355.73447933054
6917,250453.40926858413
4216,210328.7714027632
5806,165595.42921885868
5438,183758.30982796624
6632,210339.61623743564
2650,162001.40606964752
5396,139469.21176392978
4044,151660.39560574802
1345,269094.15410719963
856,180491.3757316107
12791,251660.9640180809
12499,215192.07446291976
12249,126928.7432669303
14641,143638.52034934371
1919,161397.72807991595
7848,197655.63743108072
10749,189694.48133134365
15554,182150.2137709003
15834,197410.17731258724
1355,175043.92401585102
15451,175701.7649876281
12401,209998.49967771093
10290,166141.96130354327
9462,110031.5026724327
3103,254609.26427435712
3420,142574.2340252913
12262,241022.37406339395
5032,145538.24608819408
8949,306159.7057221862
15567,235837.6494635807
16389,164657.8325022689
7809,90155.30778205927
8990,177276.94534601495
16089,271135.39233600715
12743,96836.12148882862
5132,118114.61695704471
1619,277648.50512367976
2428,73875.25168085458
16741,147638.78931625522
13193,203691.98154614205
12588,516994.09229800606
5067,171922.0369071983
14685,123106.8627928123
2292,169187.6951345333
5746,126581.76113924509
12578,158875.83457922086
14834,181630.20923000138
2147,181534.75349118013
8222,127521.9615211747
10419,263153.070835871
11492,207163.65190149457
3006,218655.22231407408
8761,193418.6390446556
15371,294613.6778869081
16367,161148.09162732217
6317,273891.3262717301
10878,264011.33114456513
3895,154595.29500009603
8041,145485.06853818547
13428,462574.1656481688
14669,146509.72552637698
1006,185181.69849305984
12271,177126.81381560027
3764,323773.0384644421
7675,208548.92310147703
11709,284402.2116739985
8629,161931.64272202595
1105,302428.9434061055
6096,191512.95501315355
11727,212138.29596937879
5157,165362.12074247358
3679,152987.12355223348
1755,118299.73752143102
7391,197821.0605892263
7425,99053.08253068078
6882,345219.3771394872
10752,408323.94442879065
7472,207694.69674677323
14320,104186.72499139441
9596,159032.76201880458
5317,221189.16302926026
7378,91242.8452828507
16154,181595.39663643052
3464,204695.7943537531
4197,230785.5962093157
9477,110467.30041421247
12705,194226.67419356116
16426,203567.94757573697
1481,68316.48162455356
9946,252029.52042912244
12025,216513.62666304878
5341,236676.58324635937
9923,279277.04023380915
7953,251532.7191165003
11066,266670.4876319858
5037,170506.87294255145
2509,187989.03089334586
4937,305636.4488041139
12089,361581.08415234066
4964,182954.40490613057
16500,283127.3035361649
4625,140245.72961571658
2363,456259.5749205612
8148,183062.8493647948
3804,187567.6973992061
4584,153076.75410023428
